YEAR,MONTH,DATE,STATE,DEP,ARR,APT_CODE
2019,DEC,2019-12-28,Greece,2.0,2.0,Kefallinia (LGKF)
2016,,2016-04-18,Germany,148.0,,Berlin - Brandenburg (EDDB)
2021,AUG,2021-08-02,Portugal,215.0,,Lisbon (LPPT)
2017,DEC,2017-12-29,Belgium,46.0,47.0,Liège (EBLG)
2021,APR,2021-04-11,Armenia,19.0,22.0,Yerevan (UDYZ)
2017,NOV,2017-11-29,Ireland,1.0,1.0,Waterford (EIWF)
2018,SEP,,United Kingdom,64.0,,Southampton (EGHI)
2016,MAY,2016-05-08,Greece,4.0,4.0,Skiathos (LGSK)
2018,APR,2018-04-22,Portugal,2.0,2.0,Flores (LPFL)
2021,,2021-12-19,Italy,24.0,26.0,Brindisi (LIBR)
2017,,2017-05-31,Portugal,278.0,269.0,Lisbon (LPPT)
2016,FEB,2016-02-16,United Kingdom,212.0,210.0,London - Stansted (EGSS)
2019,OCT,2019-10-15,Norway,13.0,14.0,Kirkenes Høybuktmoen (ENKR)
2019,MAR,2019-03-27,France,4.0,,La Rochelle-Ile de Ré (LFBH)
2020,FEB,2020-02-24,United Kingdom,185.0,185.0,London - Luton (EGGW)
2016,,2016-09-23,United Kingdom,116.0,113.0,Bristol (EGGD)
2016,JUN,2016-06-02,Greece,292.0,,Athens (LGAV)
2021,,2021-03-29,Estonia,20.0,19.0,Tallinn (EETN)
2016,MAR,2016-03-04,Italy,19.0,19.0,Brindisi (LIBR)
2017,,2017-05-18,France,4.0,2.0,Saint-Etienne-Bouthéon (LFMH)
2018,APR,2018-04-21,Slovenia,,34.0,Ljubljana (LJLJ)
2019,MAY,2019-05-11,France,2.0,,Châlons-Vatry (LFOK)
2020,SEP,2020-09-02,France,6.0,7.0,Poitiers-Biard (LFBI)
2017,AUG,2017-08-07,Ireland,339.0,349.0,Dublin (EIDW)
2017,JUN,2017-06-18,Germany,13.0,15.0,Saarbruecken (EDDR)
2020,SEP,2020-09-21,Portugal,70.0,72.0,Porto (LPPR)
2016,MAR,2016-03-18,Austria,26.0,29.0,Graz (LOWG)
2020,MAR,2020-03-20,Greece,2.0,2.0,Zakinthos (LGZA)
2019,,2019-12-10,France,113.0,109.0,Nice-Côte d’Azur (LFMN)
2020,OCT,2020-10-13,Latvia,,1.0,Liepaja (EVLA)
2018,,2018-08-19,Latvia,0.0,1.0,Liepaja (EVLA)
2021,,2021-01-10,United Kingdom,17.0,16.0,Belfast - Aldergrove (EGAA)
2017,APR,2017-04-09,Türkiye,171.0,173.0,Antalya (LTAI)
2022,JAN,2022-01-16,Germany,80.0,,Leipzig-Halle (EDDP)
2016,,2016-02-25,France,67.0,68.0,Nantes-Atlantique (LFRS)
2018,JAN,2018-01-08,Spain,6.0,5.0,Salamanca Matalan (LESA)
2018,NOV,2018-11-06,Norway,17.0,17.0,Harstad - Narvik Evenes (ENEV)
2020,,,France,4.0,2.0,Rodez-Marcillac (LFCR)
2018,JUN,2018-06-10,France,5.0,7.0,Toussus-le-Noble (LFPN)
2022,MAR,2022-03-21,France,15.0,15.0,Lyon-Bron (LFLY)
2017,FEB,2017-02-20,Portugal,3.0,2.0,Santa Maria (LPAZ)
2016,JAN,2016-01-12,Italy,55.0,55.0,Catania (LICC)
2022,,2022-02-11,Romania,111.0,112.0,Bucharest - Otopeni (LROP)
2016,SEP,2016-09-21,Norway,101.0,100.0,Trondheim (ENVA)
2019,JUN,2019-06-22,Spain,1.0,2.0,Badajoz (LEBZ)
2016,FEB,2016-02-25,Albania,25.0,25.0,Tirana (LATI)
2018,APR,2018-04-15,Greece,,68.0,Thessaloniki (LGTS)
2021,MAY,2021-05-09,Latvia,40.0,,Riga (EVRA)
2022,MAY,2022-05-12,Greece,31.0,31.0,Kos (LGKO)
2018,MAY,,France,6.0,5.0,Tours-Val de Loire (LFOT)
2017,,2017-11-20,Norway,10.0,10.0,Haugesund (ENHD)
2021,MAY,2021-05-17,France,4.0,3.0,Agen-La Garenne (LFBA)
2018,,2018-03-15,Spain,,,Seville - Moron (LEMO)
2020,NOV,2020-11-06,Belgium,68.0,73.0,Liège (EBLG)
2018,JUL,2018-07-04,Italy,110.0,106.0,Bologna (LIPE)
2019,MAR,2019-03-31,France,6.0,6.0,Caen-Carpiquet (LFRK)
2017,NOV,2017-11-24,Germany,8.0,,Erfurt (EDDE)
2019,,2019-12-12,France,,,Carcassonne-Salvaza (LFMK)
2019,,2019-12-27,Spain,116.0,117.0,Alicante (LEAL)
2021,OCT,2021-10-23,Spain,10.0,9.0,Vigo (LEVX)
2020,DEC,2020-12-28,Italy,103.0,103.0,Rome - Fiumicino (LIRF)
2019,MAY,2019-05-20,Greece,,4.0,Skiathos (LGSK)
2022,MAR,2022-03-11,Germany,49.0,48.0,Hanover (EDDV)
2018,SEP,2018-09-12,Poland,,49.0,Poznan - Lawica (EPPO)
2021,,2021-07-31,United Kingdom,,65.0,East Midlands (EGNX)
2018,OCT,2018-10-30,Norway,100.0,92.0,Trondheim (ENVA)
2018,,2018-10-27,France,1.0,,Istres-Le Tubé (LFMI)
