YEAR,MONTH,DATE,STATE,DEP,ARR,APT_CODE
2020,MAR,2020-03-20,Greece,2,2,Zakinthos (LGZA)
2019,DEC,2019-12-10,France,113,109,Nice-Côte d’Azur (LFMN)
2020,OCT,2020-10-13,Latvia,1,1,Liepaja (EVLA)
2018,AUG,2018-08-19,Latvia,0,1,Liepaja (EVLA)
2021,JAN,2021-01-10,United Kingdom,17,16,Belfast - Aldergrove (EGAA)
2017,APR,2017-04-09,Türkiye,171,173,Antalya (LTAI)
2022,JAN,2022-01-16,Germany,80,58,Leipzig-Halle (EDDP)
2016,FEB,2016-02-25,France,67,68,Nantes-Atlantique (LFRS)
2018,JAN,2018-01-08,Spain,6,5,Salamanca Matalan (LESA)
2018,NOV,2018-11-06,Norway,17,17,Harstad - Narvik Evenes (ENEV)
2020,JUL,2020-07-21,France,4,2,Rodez-Marcillac (LFCR)
2018,JUN,2018-06-10,France,5,7,Toussus-le-Noble (LFPN)
2022,MAR,2022-03-21,France,15,15,Lyon-Bron (LFLY)
2017,FEB,2017-02-20,Portugal,3,2,Santa Maria (LPAZ)
2016,JAN,2016-01-12,Italy,55,55,Catania (LICC)
2022,FEB,2022-02-11,Romania,111,112,Bucharest - Otopeni (LROP)
2016,SEP,2016-09-21,Norway,101,100,Trondheim (ENVA)
2019,JUN,2019-06-22,Spain,1,2,Badajoz (LEBZ)
2016,FEB,2016-02-25,Albania,25,25,Tirana (LATI)
2018,APR,2018-04-15,Greece,69,68,Thessaloniki (LGTS)
2021,MAY,2021-05-09,Latvia,40,41,Riga (EVRA)
2022,MAY,2022-05-12,Greece,31,31,Kos (LGKO)
2018,MAY,2018-05-27,France,6,5,Tours-Val de Loire (LFOT)
2017,NOV,2017-11-20,Norway,10,10,Haugesund (ENHD)
2021,MAY,2021-05-17,France,4,3,Agen-La Garenne (LFBA)
2018,MAR,2018-03-15,Spain,14,14,Seville - Moron (LEMO)
2020,NOV,2020-11-06,Belgium,68,73,Liège (EBLG)
2018,JUL,2018-07-04,Italy,110,106,Bologna (LIPE)
2019,MAR,2019-03-31,France,6,6,Caen-Carpiquet (LFRK)
2017,NOV,2017-11-24,Germany,8,9,Erfurt (EDDE)
2019,DEC,2019-12-12,France,1,1,Carcassonne-Salvaza (LFMK)
2019,DEC,2019-12-27,Spain,116,117,Alicante (LEAL)
