YEAR,MONTH,DATE,STATE,DEP,ARR,APT_CODE
2020,JAN,2020-01-02,Greece,8.0,8.0,Rodos (LGRP)
2020,JAN,2020-01-02,Greece,11.0,14.0,Khania - Souda (LGSA)
2020,JAN,2020-01-02,Greece,8.0,8.0,Santorini (LGSR)
2020,JAN,2020-01-02,Greece,62.0,61.0,Thessaloniki (LGTS)
2020,JAN,2020-01-02,Greece,1.0,2.0,Zakinthos (LGZA)
2020,JAN,2020-01-02,Italy,19.0,,Brindisi (LIBR)
2020,JAN,2020-01-02,Italy,91.0,92.0,Catania (LICC)
2020,JAN,2020-01-02,Italy,278.0,279.0,Milan - Malpensa (LIMC)
2020,JAN,2020-01-02,Italy,139.0,138.0,Bergamo (LIME)
2020,JAN,2020-01-02,Italy,55.0,53.0,Torino Caselle (LIMF)
2020,JAN,2020-01-02,Italy,145.0,141.0,Milan - Linate (LIML)
2020,JAN,2020-01-02,Italy,107.0,106.0,Bologna (LIPE)
2020,JAN,2020-01-02,Italy,22.0,25.0,Treviso (LIPH)
2020,JAN,2020-01-02,Italy,119.0,120.0,Venice (LIPZ)
2020,JAN,2020-01-02,Italy,,59.0,Rome - Ciampino (LIRA)
2020,JAN,2020-01-02,Italy,391.0,389.0,Rome - Fiumicino (LIRF)
2020,JAN,2020-01-02,Italy,104.0,104.0,Naples (LIRN)
2020,JAN,2020-01-02,Italy,50.0,50.0,Pisa San Giusto (LIRP)
2020,JAN,2020-01-03,Germany,124.0,122.0,Berlin - Brandenburg (EDDB)
2020,JAN,2020-01-03,Germany,19.0,20.0,Dresden (EDDC)
2020,JAN,2020-01-03,Germany,1.0,2.0,Erfurt (EDDE)
2020,JAN,2020-01-03,Germany,600.0,590.0,Frankfurt (EDDF)
2020,JAN,2020-01-03,Germany,14.0,17.0,Muenster-Osnabrueck (EDDG)
2020,JAN,2020-01-03,Germany,166.0,166.0,Hamburg (EDDH)
2020,JAN,2020-01-03,Germany,180.0,,Cologne-Bonn (EDDK)
2020,JAN,2020-01-03,Germany,251.0,256.0,Dusseldorf (EDDL)
2020,JAN,2020-01-03,Germany,465.0,471.0,Munich (EDDM)
2020,JAN,2020-01-03,Germany,58.0,52.0,Nuremberg (EDDN)
